Current Time,City,State,Country,Temperature in Preferred Units,Temperature Alternate Units,Description,Humidity,Precipitation,Pressure,UV Index,Wind_Speed,Direction,Sunrise,Sunset
2025-07-23 19:20:47,Río Piedras,Puerto Rico,US,83,28,92,Haze,82,rain : 0.005905514999999999,1018,0,16,80,05:58:57,19:02:05
2025-07-23 19:21:06,Nome,Alaska,US,52,11,51,Broken clouds,87,rain : 0.033464585,1015,1.43,13,230,09:36:46,04:39:09
2025-07-23 19:21:11,Kyoto,,JP,31,87,97,Clear sky,68,rain : 0.137007948,1013,3.06,1,22,16:00:02,06:06:35
2025-07-23 19:21:18,San Diego,California,US,76,24,76,Few clouds,67,None : 0,1016,4.79,15,300,08:56:39,22:53:18
2025-07-23 19:21:26,Reethi Rah,Malé Atoll,MV,28,82,88,Overcast clouds,75,rain : 0.467716788,1008,0,11,232,21:02:46,09:22:57
2025-07-23 19:21:36,Perth Amboy,New Jersey,US,78,26,79,Clear sky,58,rain : 0.005905514999999999,1022,0.35,9,180,05:46:02,20:20:48
2025-07-23 19:41:06,Reethi Rah,Malé Atoll,MV,28,82,89,Overcast clouds,79,rain : 0.467716788,1009,0,10,241,21:02:46,09:22:57
2025-07-23 19:41:14,San Diego,California,US,75,24,76,Few clouds,68,None : 0,1016,2.45,16,290,08:56:39,22:53:18
2025-07-23 19:41:24,Perth Amboy,New Jersey,US,77,25,77,Clear sky,59,rain : 0.005905514999999999,1022,0,10,190,05:46:02,20:20:48
2025-07-23 19:41:30,Nome,Alaska,US,52,11,51,Broken clouds,87,rain : 0.337008056,1014,1.47,13,230,09:36:46,04:39:09
2025-07-23 19:41:35,Kyoto,,JP,31,87,97,Clear sky,68,rain : 0.137007948,1013,5.54,1,22,16:00:02,06:06:35
2025-07-23 19:42:14,Río Piedras,Puerto Rico,US,83,28,92,Haze,83,rain : 0.005905514999999999,1018,0,16,80,05:58:57,19:02:05
2025-07-23 19:53:46,Río Piedras,Puerto Rico,US,83,28,92,Haze,83,rain : 0.005905514999999999,1018,0,16,80,05:58:57,19:02:05
2025-07-23 19:53:52,Reethi Rah,Malé Atoll,MV,28,82,89,Overcast clouds,79,rain : 0.467716788,1009,0,10,241,21:02:46,09:22:57
2025-07-23 19:53:57,Kyoto,,JP,32,89,100,Clear sky,64,rain : 0.137007948,1013,5.54,3,170,16:00:02,06:06:35
2025-07-23 19:54:03,San Diego,California,US,76,24,76,Few clouds,67,None : 0,1016,2.45,16,290,08:56:39,22:53:18
2025-07-23 19:54:07,Nome,Alaska,US,52,11,51,Broken clouds,87,rain : 0.575197161,1015,1.47,13,230,09:36:46,04:39:09
2025-07-23 19:54:15,Perth Amboy,New Jersey,US,77,25,77,Clear sky,61,rain : 0.005905514999999999,1022,0,8,180,05:46:02,20:20:48
2025-07-23 20:39:31,Perth Amboy,New Jersey,US,75,24,75,Clear sky,62,rain : 0.005905514999999999,1023,0,7,180,05:46:02,20:20:48
2025-07-23 20:40:54,Kyoto,,JP,32,90,101,Clear sky,63,rain : 0.137007948,1013,8.16,2,147,16:00:02,06:06:35
2025-07-23 20:41:10,Río Piedras,Puerto Rico,US,82,28,91,Haze,85,rain : 0.005905514999999999,1019,0,16,90,05:58:57,19:02:05
2025-07-23 20:41:33,Reethi Rah,Malé Atoll,MV,28,82,89,Overcast clouds,78,rain : 0.467716788,1009,0,10,233,21:02:46,09:22:57
2025-07-23 20:41:56,Nome,Alaska,US,52,11,51,Overcast clouds,82,rain : 0.575197161,1015,1.2,14,250,09:36:46,04:39:09
2025-07-23 20:42:02,San Diego,California,US,74,23,74,Scattered clouds,71,None : 0,1016,0.9,15,280,08:56:39,22:53:18
2025-07-23 20:55:49,Perth Amboy,New Jersey,US,75,24,75,Clear sky,64,rain : 0.005905514999999999,1023,0,5,180,05:46:02,20:20:48
2025-07-23 20:56:06,Kyoto,,JP,33,91,102,Clear sky,60,rain : 0.294094647,1013,8.16,2,204,16:00:02,06:06:35
2025-07-23 20:56:45,Nome,Alaska,US,52,11,51,Overcast clouds,82,rain : 0.575197161,1015,1.2,14,250,09:36:46,04:39:09
2025-07-23 20:57:13,San Diego,California,US,74,23,74,Scattered clouds,71,None : 0,1016,0.9,15,280,08:56:39,22:53:18
2025-07-23 20:58:10,Reethi Rah,Malé Atoll,MV,28,82,89,Overcast clouds,78,rain : 0.24803162999999998,1009,0,10,233,21:02:46,09:22:57
2025-07-23 20:58:30,Perth Amboy,New Jersey,US,75,24,75,Clear sky,64,rain : 0.005905514999999999,1023,0,5,180,05:46:02,20:20:48
2025-07-23 21:04:21,Sydney,New South Wales,AU,14,57,55,Clear sky,52,rain : 0.255118248,1020,2.64,14,260,16:53:26,03:09:35
2025-07-23 21:05:52,Reethi Rah,Malé Atoll,MV,28,82,90,Overcast clouds,80,rain : 0.24803162999999998,1009,0,10,233,21:02:46,09:22:57
2025-07-23 21:06:05,Kyoto,,JP,33,91,102,Clear sky,60,rain : 0.294094647,1013,8.16,2,204,16:00:02,06:06:35
2025-07-23 21:06:39,Río Piedras,Puerto Rico,US,82,28,90,Light rain,87,rain : 0.028346471999999998,1019,0,15,80,05:58:57,19:02:05
2025-07-23 21:07:01,Perth Amboy,New Jersey,US,74,23,74,Clear sky,64,rain : 0.114566991,1023,0,6,190,05:46:02,20:20:48
2025-07-23 21:07:07,San Diego,California,US,73,23,73,Scattered clouds,72,None : 0,1016,0.9,15,280,08:56:39,22:53:18
2025-07-24 19:33:40,Perth Amboy,New Jersey,US,86,30,92,Clear sky,60,rain : 0.54330738,1017,0,9,280,05:46:56,20:19:58
2025-07-24 19:33:58,Nome,Alaska,US,50,10,49,Overcast clouds,87,rain : 0.396850608,1017,1.85,7,190,09:40:05,04:35:53
2025-07-24 19:34:03,Reethi Rah,Malé Atoll,MV,28,83,89,Overcast clouds,74,rain : 0.998032035,1008,0,12,244,21:02:53,09:22:53
2025-07-24 19:34:11,Kyoto,,JP,31,87,98,Few clouds,71,rain : 0.290551338,1013,5.47,5,74,16:00:46,06:05:55
2025-07-24 19:34:25,Río Piedras,Puerto Rico,US,83,28,92,Haze,80,rain : 0.022440956999999997,1018,0,13,70,05:59:18,19:01:48
2025-07-24 19:41:08,Río Piedras,Puerto Rico,US,83,28,92,Haze,80,rain : 0.022440956999999997,1018,0,13,70,05:59:18,19:01:48
2025-07-24 19:45:58,Reethi Rah,Malé Atoll,MV,28,83,89,Overcast clouds,74,rain : 0.998032035,1008,0,12,244,21:02:53,09:22:53
2025-07-24 19:46:10,Kyoto,,JP,31,88,99,Few clouds,68,rain : 0.290551338,1013,5.47,4,111,16:00:46,06:05:55
2025-07-24 19:46:18,Nome,Alaska,US,50,10,49,Light rain,87,rain : 0.659449175,1017,1.85,7,190,09:40:05,04:35:53
2025-07-24 19:46:36,San Diego,California,US,75,24,75,Scattered clouds,68,None : 0,1017,2.29,18,310,08:57:19,22:52:42
2025-07-24 19:46:56,Perth Amboy,New Jersey,US,86,30,91,Clear sky,61,rain : 0.54330738,1017,0,7,270,05:46:56,20:19:58
