Current Time,City,State,Country,Temperature,Feels Like,Humidity,Precipitation,Pressure,Wind_Speed,Wind Direction,Visibility,Sunrise,Sunset
2025-07-31 18:48:19,Maui,Hawaii,US,75,75,70,0,1019,2,299,10000,11:59:12,01:03:51
2025-07-31 18:49:31,Perth Amboy,New Jersey,US,71,72,84,0,1014,9,20,10000,05:53:25,20:13:22
2025-07-31 20:05:15,Oslo,,NO,63,64,91,0,1006,1,335,10000,22:58:32,15:48:04
2025-07-31 21:03:06,Perth Amboy,New Jersey,US,69,70,81,0,1016,9,20,10000,05:53:25,20:13:22
2025-07-31 21:14:03,Perth Amboy,New Jersey,US,69,69,82,0,1016,9,20,10000,05:53:25,20:13:22
2025-08-01 19:38:24,Perth Amboy,New Jersey,US,72,72,71,0,1022,1,74,10000,05:54:23,20:12:19
2025-08-02 08:27:19,Mars,Auvergne-Rhône-Alpes,FR,66,64,42,0,1015,12,355,10000,00:29:06,15:08:44
2025-08-02 08:27:37,Pluto,West Virginia,US,62,62,95,0,1025,6,90,10000,06:28:36,20:31:43
2025-08-02 09:40:54,New York,New York,US,70,70,67,0,1024,13,10,10000,05:53:48,20:10:38
2025-08-02 10:57:26,Cleveland,Ohio,US,73,72,46,0,1027,10,90,10000,06:22:40,20:43:16
2025-08-02 11:05:17,Sydney,New South Wales,AU,58,57,84,0,1019,24,130,10000,16:46:07,03:16:33
2025-08-02 11:05:29,London,England,GB,69,68,52,0,1018,6,0,10000,00:25:49,15:47:37
2025-08-02 11:24:42,Aba,Abia State,NG,81,85,72,0,1012,8,245,10000,01:26:41,13:46:48
2025-08-02 11:28:55,Abiramam,Tamil Nadu,IN,81,86,74,0,1007,13,230,10000,20:36:42,09:08:13
2025-08-02 11:29:16,El Puerto,Santa Cruz Province,AR,37,31,93,0,1012,9,180,5000,08:11:52,17:14:23
2025-08-02 11:32:07,Abdul Khel,Khyber Pakhtunkhwa,PK,97,103,38,0,998,13,141,10000,20:31:24,10:13:43
2025-08-02 11:32:41,Abbeville,Louisiana,US,84,94,80,0,1019,3,0,10000,07:28:20,21:01:07
2025-08-02 11:42:23,Seville,Andalusia,ES,102,100,19,0,1008,9,250,10000,01:29:08,15:31:14
2025-08-02 11:42:53,San Juan,Puerto Rico,US,81,88,86,0,1016,9,190,10000,06:02:32,18:58:47
2025-08-02 11:53:22,Shah Alam,Selangor,MY,84,90,69,0,1009,3,190,10000,19:12:42,07:27:35
2025-08-02 11:53:36,Čata,Region of Nitra,SK,80,81,46,0,1009,4,203,10000,23:22:58,14:20:15
2025-08-02 11:53:47,Cataño,Puerto Rico,US,84,96,82,0,1016,1,33,10000,06:02:35,18:58:45
2025-08-02 11:54:20,Levittown,New York,US,76,76,57,0,1023,8,20,10000,05:51:48,20:08:42
2025-08-02 12:35:53,Perth Amboy,New Jersey,US,77,77,57,0,1023,7,20,10000,05:55:20,20:11:14
2025-08-02 13:26:18,Perth Amboy,New Jersey,US,79,79,52,0,1023,7,90,10000,05:55:20,20:11:14
2025-08-02 13:51:23,Aarhus,Central Denmark Region,DK,64,64,91,0,1006,4,162,10000,23:24:20,15:26:22
2025-08-02 14:23:33,Perth,Western Australia,AU,58,57,81,0,1005,23,290,10000,19:04:02,05:41:25
2025-08-02 14:27:44,Perth Amboy,New Jersey,US,78,78,51,0,1023,1,334,10000,05:55:20,20:11:14
2025-08-02 14:30:05,Mooresville,Indiana,US,76,75,53,0,1024,18,30,10000,06:45:54,20:57:29
2025-08-02 14:30:10,Mooresville,North Carolina,US,70,71,82,0,1021,9,63,10000,06:32:21,20:26:31
2025-08-02 14:30:58,Fajardo,Puerto Rico,US,86,99,81,0,1016,5,148,10000,06:00:53,18:56:44
2025-08-02 14:31:54,Miami Beach,Florida,US,93,105,59,0,1018,8,150,10000,06:47:24,20:06:03
2025-08-02 14:44:00,Yellowknife,Northwest Territories,CA,69,69,63,0,1021,5,40,10000,07:03:50,00:23:33
2025-08-02 14:49:00,Oslo,,NO,64,65,95,0,1007,3,173,10000,23:00:53,15:45:37
2025-08-02 15:21:24,Perth,Scotland,GB,65,64,73,0,1014,3,98,10000,00:17:45,16:22:05
2025-08-02 15:21:47,Perth East,Ontario,CA,78,77,38,0,1026,5,300,10000,06:14:42,20:45:28
2025-08-02 15:21:47,Perth East,Ontario,CA,78,77,38,0,1026,5,300,10000,06:14:42,20:45:28
2025-08-02 15:22:05,Perth Amboy,New Jersey,US,79,79,49,0,1022,3,110,10000,05:55:20,20:11:14
2025-08-02 15:22:05,Perth Amboy,New Jersey,US,79,79,49,0,1022,3,110,10000,05:55:20,20:11:14
2025-08-02 15:22:19,Kansas City,Kansas,US,79,79,50,0,1025,9,120,10000,07:20:04,21:29:19
2025-08-02 15:23:27,London,England,GB,68,67,50,0,1017,5,230,10000,00:25:49,15:47:37
2025-08-02 15:23:31,London,Ohio,US,73,72,48,0,1025,10,40,10000,06:33:33,20:46:25
2025-08-02 15:23:40,Fajardo,Puerto Rico,US,87,99,79,0,1016,14,150,10000,06:00:53,18:56:44
2025-08-02 15:26:52,Miami Beach,Florida,US,93,105,59,0,1018,9,120,10000,06:47:24,20:06:03
2025-08-02 15:27:06,Miami,Oklahoma,US,86,88,51,0,1023,9,46,10000,07:25:58,21:25:25
2025-08-02 15:28:42,Perth Amboy,New Jersey,US,79,79,48,0,1022,3,110,10000,05:55:20,20:11:14
2025-08-02 15:33:23,Perth Amboy,New Jersey,US,79,79,49,0,1022,3,110,10000,05:55:20,20:11:14
2025-08-02 15:33:35,Perth East,Ontario,CA,78,77,38,0,1024,11,306,10000,06:14:42,20:45:28
2025-08-02 15:35:09,Aalsmeer,North Holland,NL,60,60,84,0,1016,5,290,10000,00:03:18,15:30:59
2025-08-02 15:35:17,Abaré,Bahia,BR,74,74,69,0,1019,15,133,10000,04:50:21,16:34:58
2025-08-02 15:39:51,Perth Amboy,New Jersey,US,79,79,50,0,1022,3,110,10000,05:55:20,20:11:14
2025-08-02 15:40:05,Sydney,New South Wales,AU,60,59,78,0,1019,25,150,10000,16:46:07,03:16:33
2025-08-02 15:40:25,Arkhangelsk,Arkhangelsk Oblast,RU,70,70,78,0,1017,4,130,10000,20:23:54,14:24:14
2025-08-02 15:40:41,San Diego,California,US,76,77,66,0,1019,8,290,10000,09:03:28,22:46:12
2025-08-02 15:40:56,Reethi Rah,Malé Atoll,MV,81,85,77,0,1010,14,302,10000,21:03:28,09:21:53
2025-08-02 15:41:18,San Juan del Río Coco,Madriz,NI,85,86,47,0,1013,9,74,10000,07:29:40,20:12:02
2025-08-02 15:41:23,San Juan Chamelco,Alta Verapaz,GT,67,68,88,0,1018,5,50,8000,07:43:44,20:31:17
2025-08-02 15:41:29,San Juan del Puerto,Andalusia,ES,80,83,65,0,1011,8,256,10000,01:32:41,15:34:27
2025-08-02 15:46:15,São Paulo,São Paulo,BR,77,76,30,0,1021,5,350,10000,05:40:51,16:44:37
2025-08-02 15:46:15,São Paulo,São Paulo,BR,77,76,30,0,1021,5,350,10000,05:40:51,16:44:37
2025-08-02 15:46:15,São Paulo,São Paulo,BR,77,76,30,0,1021,5,350,10000,05:40:51,16:44:37
2025-08-02 15:46:39,Cleveland,Ohio,US,76,75,47,0,1025,14,20,10000,06:22:40,20:43:16
2025-08-02 15:46:39,Cleveland,Ohio,US,76,75,47,0,1025,14,20,10000,06:22:40,20:43:16
2025-08-02 15:46:39,Cleveland,Ohio,US,76,75,47,0,1025,14,20,10000,06:22:40,20:43:16
2025-08-02 15:52:43,Aarau,Aargau,CH,57,57,91,0,1018,3,259,10000,00:07:11,15:00:52
2025-08-02 15:52:43,Aarau,Aargau,CH,57,57,91,0,1018,3,259,10000,00:07:11,15:00:52
2025-08-02 15:52:50,Aarsal,Baalbek-Hermel Governorate,LB,65,64,50,0,1011,7,231,10000,22:45:55,12:34:50
2025-08-02 15:52:56,Abancay,Apurímac,PE,73,71,26,0,1012,9,296,10000,07:11:50,18:43:35
2025-08-02 15:52:56,Abancay,Apurímac,PE,73,71,26,0,1012,9,296,10000,07:11:50,18:43:35
2025-08-02 15:53:04,Aarhus,Central Denmark Region,DK,62,62,92,0,1007,1,238,10000,23:24:20,15:26:22
2025-08-02 15:52:50,Aarsal,Baalbek-Hermel Governorate,LB,65,64,50,0,1011,7,231,10000,22:45:55,12:34:50
2025-08-02 15:54:15,Abaiara,Ceará,BR,86,89,55,0,1017,14,190,10000,04:48:19,16:36:28
2025-08-02 15:54:15,Abaiara,Ceará,BR,86,89,55,0,1017,14,190,10000,04:48:19,16:36:28
2025-08-02 15:54:15,Abaiara,Ceará,BR,86,89,55,0,1017,14,190,10000,04:48:19,16:36:28
2025-08-02 15:54:22,Aarhus,Central Denmark Region,DK,62,62,93,0,1007,1,238,10000,23:24:20,15:26:22
2025-08-02 15:54:28,Abakaliki,Ebonyi State,NG,74,76,94,0,1014,9,244,10000,01:22:08,13:45:23
2025-08-02 15:54:33,Abaré,Bahia,BR,74,74,70,0,1019,15,133,10000,04:50:21,16:34:58
2025-08-02 15:56:19,Perth Amboy,New Jersey,US,80,80,50,0,1022,5,180,10000,05:55:20,20:11:14
2025-08-02 15:56:27,Perth East,Ontario,CA,78,77,40,0,1024,11,306,10000,06:14:42,20:45:28
2025-08-02 15:56:27,Perth East,Ontario,CA,78,77,40,0,1024,11,306,10000,06:14:42,20:45:28
2025-08-02 15:56:34,Perth,Western Australia,AU,58,57,76,0,1005,17,270,10000,19:04:02,05:41:25
2025-08-02 15:56:27,Perth East,Ontario,CA,78,77,40,0,1024,11,306,10000,06:14:42,20:45:28
2025-08-02 15:56:19,Perth Amboy,New Jersey,US,80,80,50,0,1022,5,180,10000,05:55:20,20:11:14
2025-08-02 15:56:27,Perth East,Ontario,CA,78,77,40,0,1024,11,306,10000,06:14:42,20:45:28
2025-08-02 16:02:18,Perth Amboy,New Jersey,US,79,79,51,0,1022,5,181,10000,05:55:20,20:11:14
2025-08-02 16:02:33,Oslo,,NO,64,65,96,0,1007,3,154,10000,23:00:53,15:45:37
2025-08-02 16:02:42,Oslob,Cebu,PH,82,87,74,0,1009,1,172,10000,17:36:44,06:08:08
2025-08-02 16:02:52,Sydney,New South Wales,AU,60,59,78,0,1019,22,160,10000,16:46:07,03:16:33
2025-08-02 16:03:03,San Diego,California,US,77,77,64,0,1018,8,300,10000,09:03:28,22:46:12
2025-08-02 16:07:38,Oslo,,NO,64,65,94,0,1007,3,154,10000,23:00:53,15:45:37
2025-08-02 16:07:47,Oslob,Cebu,PH,82,87,74,0,1009,1,172,10000,17:36:44,06:08:08
2025-08-02 16:07:56,Perth Amboy,New Jersey,US,79,79,51,0,1022,5,181,10000,05:55:20,20:11:14
2025-08-02 16:08:08,San Diego,California,US,77,77,64,0,1018,9,240,10000,09:03:28,22:46:12
2025-08-02 16:08:22,Andahuaylas,Apurímac,PE,59,56,36,0,1015,9,348,10000,07:13:54,18:45:36
2025-08-02 16:08:38,Andalusia,Alabama,US,79,79,83,0,1016,6,360,10000,07:03:19,20:40:56
2025-08-02 16:08:47,Anda,Pangasinan,PH,79,79,77,0,1008,7,190,10000,17:41:31,06:31:13
2025-08-02 16:09:09,Oahu,Hawaii,US,79,79,67,0,1021,9,90,10000,12:05:51,01:10:48
2025-08-02 16:09:15,Kyoto,,JP,80,80,84,0,1002,3,325,10000,16:07:32,05:58:45
2025-08-02 16:35:51,Aalsmeer,North Holland,NL,60,60,84,0,1017,3,281,10000,00:03:18,15:30:59
2025-08-02 16:36:07,Aasiaat,Qeqertalik,GL,38,33,85,0,1002,6,323,10000,01:40:26,21:34:46
2025-08-02 16:39:39,Abangaritos,,CR,90,101,63,0,1010,6,159,10000,07:29:43,20:02:58
2025-08-02 16:39:53,Abakaliki,Ebonyi State,NG,74,75,96,0,1015,8,232,10000,01:22:08,13:45:23
2025-08-02 16:40:02,Abaré,Bahia,BR,73,74,71,0,1019,14,143,10000,04:50:21,16:34:58
2025-08-02 16:40:07,Aars,North Denmark Region,DK,61,61,92,0,1006,3,156,10000,23:23:49,15:32:27
2025-08-02 16:40:15,Abashiri,,JP,67,67,98,0,1003,6,319,191,15:12:44,05:45:25
2025-08-02 16:46:22,Perth Amboy,New Jersey,US,78,78,54,0,1022,7,170,10000,05:55:20,20:11:14
2025-08-02 16:46:39,Reethi Rah,Malé Atoll,MV,81,86,77,0,1009,15,304,10000,21:03:28,09:21:53
2025-08-02 16:46:57,Kyoto,,JP,80,80,84,0,1003,2,329,10000,16:07:32,05:58:45
2025-08-02 16:47:10,San Diego,California,US,77,77,62,0,1018,9,240,10000,09:03:28,22:46:12
2025-08-02 16:47:25,San Diego,Cesar,CO,100,105,34,0,1007,8,50,10000,06:42:03,19:15:46
2025-08-02 16:47:44,Osakarovka,Karaganda Region,KZ,58,57,87,0,1011,7,345,10000,19:39:39,10:52:00
2025-08-02 16:48:01,Chofu,,JP,81,89,88,0,1002,8,27,10000,15:51:07,05:44:53
2025-08-02 16:48:18,Los Angeles,California,US,79,79,57,0,1018,10,190,9656,09:05:13,22:53:05
2025-08-02 16:48:24,San Diego,California,US,77,78,61,0,1018,9,240,10000,09:03:28,22:46:12
2025-08-02 16:48:36,Ponce,Puerto Rico,US,84,94,83,0,1015,7,90,10000,06:05:11,19:00:07
2025-08-02 17:16:22,Perth Amboy,New Jersey,US,78,78,54,0,1022,7,170,10000,05:55:20,20:11:14
2025-08-02 17:23:32,Fajardo,Puerto Rico,US,85,97,83,0,1015,12,120,10000,06:00:53,18:56:44
2025-08-02 17:23:53,Perth Amboy,New Jersey,US,78,78,55,0,1022,7,170,10000,05:55:20,20:11:14
2025-08-02 17:24:01,Reethi Rah,Malé Atoll,MV,81,86,77,0,1009,15,304,10000,21:03:28,09:21:53
2025-08-02 17:24:19,Fukuoka,,JP,79,80,83,0,1003,3,100,10000,16:31:46,06:17:21
2025-08-02 17:24:33,Dublin,,IE,67,66,76,0,1018,10,220,10000,00:43:03,16:19:26
2025-08-02 17:24:33,Dublin,,IE,67,66,76,0,1018,10,220,10000,00:43:03,16:19:26
2025-08-02 17:25:02,Dublin,Ohio,US,77,77,47,0,1023,10,50,10000,06:31:43,20:45:35
2025-08-02 17:25:06,Dublin,,IE,67,66,76,0,1018,10,220,10000,00:43:03,16:19:26
2025-08-02 17:26:50,Dublin,,IE,67,66,76,0,1018,10,220,10000,00:43:03,16:19:26
2025-08-02 17:29:07,Dublin,,IE,67,66,76,0,1018,10,220,10000,00:43:03,16:19:26
2025-08-02 17:29:22,Ponce,Puerto Rico,US,83,93,83,0,1015,8,120,10000,06:05:11,19:00:07
2025-08-02 17:29:34,Rio Piedra,Veraguas,PA,77,78,69,0,1010,5,330,10000,07:17:00,19:45:39
2025-08-02 17:37:08,Aalsmeer,North Holland,NL,60,60,75,0,1017,9,290,10000,00:03:18,15:30:59
2025-08-02 17:37:21,Perth Amboy,New Jersey,US,78,78,55,0,1022,7,170,10000,05:55:20,20:11:14
2025-08-02 17:37:30,Oslob,Cebu,PH,81,85,74,0,1009,2,153,10000,17:36:44,06:08:08
2025-08-02 17:38:31,Aba,Abia State,NG,73,75,96,0,1016,6,277,7372,01:26:41,13:46:48
2025-08-02 18:09:38,Aarhus,Central Denmark Region,DK,61,61,94,0,1007,2,213,10000,23:26:15,15:24:19
2025-08-02 19:51:39,Aba,Abia State,NG,73,75,97,0,1014,7,253,8960,01:26:44,13:46:38
2025-08-03 10:58:28,Perth Amboy,New Jersey,US,79,79,51,0,1022,8,40,10000,05:56:18,20:10:09
